区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,富贵园一区 ,3室2厅,129.72,1500,115634,房本满五年,南北,精装,有电梯,低楼层(共11层)2004年建板楼,,-
东城,民安小区东直门内北小街 ,2室1厅,77.21,857,110996,房本满五年,西,精装,有电梯,低楼层(共16层)2003年建板楼,,-
东城,中海紫御公馆 ,2室1厅,60.72,629,103591,房本满五年,西北,精装,有电梯,低楼层(共19层)2010年建板塔结合,,-
东城,安德路47号院 ,3室1厅,68.75,721,104873,房本满五年,南北,精装,无电梯,顶层(共6层)1986年建板楼,,-
东城,巷上嘉园 ,2室1厅,89.63,940,104876,房本满五年,东北,精装,有电梯,中楼层(共12层)2005年建板塔结合,,-
东城,培新街乙5号院 ,2室1厅,71.66,750,104661,房本满五年,东南西,简装,有电梯,中楼层(共16层)1999年建板塔结合,,-
东城,南弓匠营胡同 ,1室1厅,53.14,760,143019,房本满五年,南北,简装,无电梯,底层(共5层)2003年建板楼,,-
东城,新景家园西区 ,2室1厅,92.75,930,100270,房本满五年,西,简装,有电梯,中楼层(共11层)2001年建板塔结合,,-
东城,青年湖南街 ,1室1厅,52.09,650,124785,房本满五年,南北,简装,有电梯,低楼层(共14层)1996年建板塔结合,,-
东城,春秀路 ,2室1厅,62.54,610,97538,房本满五年,南,简装,有电梯,低楼层(共21层)1992年建塔楼,,-
东城,保利蔷薇 ,2室1厅,81.74,950,116223,房本满五年,南东北,精装,有电梯,高楼层(共16层)2008年建板塔结合,,-
东城,和平里一区 ,2室1厅,52.64,520,98785,房本满五年,南,简装,有电梯,中楼层(共11层)1990年建板塔结合,,-
东城,富贵园三区 ,2室1厅,69.9,690,98713,房本满五年,东,简装,有电梯,顶层(共18层)2002年建塔楼,,-
东城,青年湖北里 ,1室1厅,60.76,590,97104,房本满五年,南,精装,有电梯,底层(共18层)1999年建塔楼,,-
东城,保利蔷薇 ,1室1厅,40.77,510,125092,房本满五年,西北,精装,有电梯,低楼层(共16层)2008年建板塔结合,,-
东城,绿景苑 ,1室1厅,64,660,103125,房本满五年,东,精装,有电梯,高楼层(共18层)2002年建塔楼,,-
东城,当代MOMA ,3室1厅,182.3,2000,109710,房本满五年,西北,精装,有电梯,低楼层(共21层)2008年建塔楼,,-
东城,新景家园东区 ,1室1厅,61.37,630,102657,房本满五年,东南北,简装,有电梯,中楼层(共16层)2002年建板塔结合,,-
东城,保利蔷薇 ,2室1厅,86.11,968,112415,房本满五年,东北,精装,有电梯,低楼层(共16层)2005年建板塔结合,,-
东城,花市枣苑一期 ,3室2厅,140.26,1680,119778,房本满五年,东南,精装,有电梯,中楼层(共18层)2003年建塔楼,,-
东城,青年湖东里 ,2室1厅,55.82,586,104981,房本满五年,东西,精装,无电梯,顶层(共6层)1986年建板楼,,-
东城,西革新里108号院 ,2室1厅,93.09,670,71974,房本满五年,南北,简装,无电梯,低楼层(共6层)1997年建板楼,,-
东城,金世纪嘉园 ,1室1厅,64.01,640,99985,房本满五年,西,简装,有电梯,高楼层(共21层)2006年建塔楼,,-
东城,天坛西里东区 ,2室1厅,54.04,450,83272,房本满五年,南北,精装,无,中楼层(共6层)1982年建板楼,,-
东城,仓南胡同12号院 ,2室1厅,61.38,775,126263,房本满五年,南北,精装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,悠胜美苑 ,1室1厅,65.55,480,73227,,东西,简装,无电梯,中楼层(共5层)2006年建板楼,,-
东城,安德路47号院 ,2室1厅,58.52,550,93985,,东西,精装,无电梯,低楼层(共6层)1995年建板楼,,-
东城,西营房 ,1室1厅,55.75,585,104933,,西,精装,有电梯,中楼层(共19层)2005年建塔楼,,-
东城,万国城MOMA ,3室2厅,227.47,2600,114301,房本满五年,东南,精装,有电梯,高楼层(共31层)2006年建塔楼,,-
东城,望陶园小区 ,3室1厅,134.11,895,66737,房本满五年,西南,简装,有电梯,高楼层(共18层)1999年建塔楼,,-
东城,东花市北里西区 ,2室2厅,134.86,1430,106036,房本满五年,南北,简装,有电梯,低楼层(共9层)1996年建板楼,,-
